Name,FullName,Age,Height,Weight,Nationality,Overall,Positions,PreferredFoot,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating
D. Angleberger,Devin Angleberger,19,179,74,Germany,55,"CM,CDM",Right,1,3,2,Medium,Medium,62,41,55,55,57,49,48,36,41,61,39,52,45,33,59,55,64,61,66,55,68,51,66,52,48,42,44,60,46,58,36,47,60,57,60,5,13,9,13,11,50,53,52,52,52,53,56,56,57,56,59,59,59,59,57,59,17
Y. Boyar,Yavuz Buğra Boyar,23,190,79,Turkey,55,GK,Right,1,3,1,Medium,Medium,54,53,55,62,24,56,14,8,11,20,5,9,13,14,29,16,30,15,25,40,26,41,32,28,63,8,19,14,6,31,16,33,6,10,14,54,53,55,56,62,21,17,18,18,18,17,21,21,23,21,20,23,20,19,21,19,56
K. Holmén,Kevin Holmén,20,177,76,Sweden,55,CM,Left,1,3,2,Medium,Medium,59,45,57,54,43,53,47,45,40,64,40,47,51,48,62,57,58,60,64,51,69,51,56,54,57,40,40,44,49,55,46,58,42,44,46,13,10,10,8,7,52,52,52,52,52,52,56,56,57,56,53,54,53,52,49,52,16
K. Singh,Kamaljit Singh,26,185,80,India,55,GK,Right,1,3,1,Medium,Medium,55,50,53,57,34,52,10,9,13,20,5,5,12,12,23,13,35,32,24,54,44,40,58,28,56,6,28,10,7,34,12,29,7,12,13,55,50,53,52,57,23,18,20,20,20,18,22,22,23,22,21,23,21,21,23,21,56
K. Ledwidge,Kameron Ledwidge,21,177,73,Republic of Ireland,55,CB,Left,1,2,2,Medium,Medium,69,31,46,54,53,58,46,27,51,53,20,53,41,34,44,50,69,69,68,60,62,42,63,62,50,26,70,49,34,39,41,50,54,56,55,9,9,6,13,11,47,49,47,47,47,49,49,52,50,52,57,55,57,57,57,57,18
M. Ejdum,Max Ejdum,17,168,58,Denmark,55,CM,Left,1,3,2,High,Medium,65,39,53,56,37,48,37,38,44,63,35,48,40,39,60,68,63,67,57,54,61,40,57,64,42,37,39,25,45,52,44,58,36,42,41,12,6,10,8,5,50,53,52,52,52,53,57,57,57,57,51,51,51,50,44,50,15
N. Tamang,Nim Dorjee Tamang,26,179,73,India,55,"RB,CB",Right,1,2,2,High,Medium,68,26,42,45,51,65,46,19,52,49,26,42,38,21,47,40,66,69,67,47,62,36,79,67,67,25,54,47,34,30,35,43,49,55,54,10,9,11,6,6,43,43,40,40,40,43,43,47,45,47,54,52,54,55,56,55,14
T. Rausch,Thomas Rausch,22,176,68,Germany,55,"RB,CB,CDM",Right,1,3,2,Medium,Medium,70,28,38,57,49,53,42,29,46,38,28,53,40,32,36,56,70,70,75,54,75,24,71,64,44,25,58,48,37,34,31,45,45,53,57,12,6,9,14,11,44,48,45,45,45,48,47,51,46,51,55,50,55,55,53,55,17
B. Kłudka,Bartłomiej Kłudka,20,186,72,Poland,55,RB,Right,1,2,2,Medium,Medium,71,31,43,48,49,59,49,31,42,46,27,53,37,30,38,38,70,72,57,48,59,31,64,66,58,27,53,49,51,39,38,40,46,51,55,8,8,9,13,9,46,48,45,45,45,48,47,51,46,51,54,50,54,54,52,54,16
J. Diaz,Junior Diaz,18,183,78,France,55,CB,Right,1,2,2,Medium,Medium,64,28,47,45,58,48,42,22,43,57,32,41,34,38,51,49,67,61,62,35,51,42,46,39,48,29,62,51,21,35,31,35,56,67,66,13,9,7,6,13,40,42,40,40,40,42,44,46,46,46,54,55,54,56,57,56,15
K. Lepczyński,Kacper Lepczyński,20,191,80,Poland,55,CB,Right,1,2,2,Medium,Medium,64,28,38,34,54,67,30,28,54,48,28,29,33,29,38,31,63,64,48,43,48,33,67,63,73,21,55,55,29,33,43,41,50,56,53,7,10,12,8,14,41,37,36,36,36,37,39,41,42,41,51,51,51,53,57,53,16
A. Abdulai,Azeem Abdulai,19,183,75,England,55,"CDM,CM",Right,1,2,2,Medium,Medium,57,32,52,51,49,60,40,28,47,59,29,51,35,38,61,48,61,53,54,55,59,45,58,59,61,30,59,46,33,53,28,49,47,54,51,12,6,7,7,10,46,47,46,46,46,47,51,52,54,52,53,56,53,53,54,53,16
H. Biler,Huseyin Biler,20,176,65,England,55,"RWB,RB",Right,1,4,2,High,High,71,29,45,54,49,57,49,23,36,46,22,52,47,34,42,50,70,72,70,50,73,37,69,60,58,29,46,52,44,45,33,48,50,52,47,14,12,14,15,10,45,49,46,46,46,49,49,52,49,52,55,52,55,54,52,54,19
B. Singh,Boris Singh,22,161,63,India,55,"RM,RB,LM",Right,1,4,2,Medium,Medium,73,46,48,57,49,46,50,49,45,49,37,55,47,40,44,52,70,76,72,47,87,47,62,63,36,42,48,50,49,50,43,48,45,54,52,11,14,10,6,6,52,54,52,52,52,54,54,56,52,56,56,51,56,56,51,56,15
C. Ignat,Cristian Ignat,19,186,80,Moldova,55,"CB,CDM",Right,1,3,2,Medium,Medium,77,31,37,39,55,65,29,29,60,45,27,33,30,34,40,37,73,81,63,41,62,35,60,65,73,31,46,50,34,29,34,38,54,57,55,7,8,6,5,5,45,41,40,40,40,41,41,44,42,44,52,51,52,55,57,55,12
R. Finnigan,Ryan Finnigan,18,178,69,England,55,CM,Right,1,3,2,Medium,Medium,57,49,55,57,47,54,47,41,47,61,42,59,48,49,60,52,64,52,66,54,67,65,49,53,52,49,62,51,52,51,52,48,44,49,44,11,14,14,12,7,54,54,54,54,54,54,57,56,57,56,54,55,54,53,52,53,18
Jeong Han Min,Han Min Jeong,21,183,76,Korea Republic,55,"LM,LW",Right,1,3,3,High,Low,68,58,43,57,27,57,47,58,51,40,52,63,46,42,35,51,65,71,56,49,54,61,72,62,60,58,41,22,62,50,54,47,29,21,22,10,14,12,10,10,59,56,56,56,56,56,55,56,48,56,44,39,44,42,39,42,17
J. Singh,Jitendra Singh,21,169,68,India,55,"CDM,CM,CB",Right,1,3,2,Low,Medium,76,41,49,55,54,65,44,41,50,55,32,50,35,36,52,53,69,81,81,48,80,46,83,52,70,40,65,55,35,47,38,51,54,55,53,9,8,11,13,13,51,51,49,49,49,51,53,54,52,54,56,56,56,57,59,57,17
A. Wikman,Adam Wikman,18,178,66,Sweden,55,CM,Right,1,3,2,Medium,Medium,67,47,53,57,53,51,44,45,44,60,42,52,45,40,55,58,67,67,75,50,75,54,65,60,42,45,57,54,55,53,39,58,52,56,52,9,8,6,11,10,54,55,54,54,54,55,57,57,57,57,57,57,57,57,55,57,16
M. Cudjoe,Matthew Anim Cudjoe,18,168,56,Ghana,55,"CAM,RW",Right,1,3,2,Medium,Medium,74,49,54,61,30,37,57,51,23,55,44,59,58,44,56,60,75,74,76,43,92,55,62,48,27,45,40,24,44,48,32,49,33,31,33,5,10,13,11,10,51,57,54,54,54,57,57,58,52,58,48,44,48,46,37,46,15
T. Fadahunsi,Tope Fadahunsi,22,173,65,England,55,ST,Right,1,2,2,Medium,Medium,67,56,44,58,19,60,44,61,50,48,47,62,39,27,38,51,66,68,70,47,63,55,62,56,59,50,68,18,53,47,60,47,14,18,10,9,12,9,8,11,57,55,55,55,55,55,55,55,48,55,40,38,40,38,36,38,16
Cui Ming'an,Ming'an Cui,27,180,70,China PR,55,"CM,CDM",Right,1,3,2,Low,High,58,42,56,51,52,64,46,29,50,62,38,46,53,45,59,52,59,57,68,56,57,60,59,63,70,51,50,53,50,56,41,45,54,52,49,7,10,9,13,11,52,51,51,51,51,51,55,54,56,54,56,56,56,56,56,56,17
R. Graydon,Ryan Graydon,23,188,78,Republic of Ireland,55,"LM,RM",Right,1,2,3,Medium,Medium,66,51,53,55,31,52,53,52,42,55,50,56,56,55,49,55,63,68,57,44,51,51,50,51,62,51,29,22,51,52,50,47,24,41,32,12,15,14,13,14,55,55,53,53,53,55,56,56,52,56,47,44,47,45,41,45,19
A. Singh Kiyam,Amarjit Singh Kiyam,21,171,62,India,55,"CM,CDM,RB",Right,1,3,2,High,Medium,69,42,53,60,50,59,41,40,41,58,42,56,50,43,56,59,67,71,77,52,70,45,72,61,59,42,52,49,50,55,47,56,50,50,56,15,7,6,13,7,52,55,54,54,54,55,58,57,57,57,56,56,56,56,55,56,17
B. Zeneli,Besfort Zeneli,19,178,71,Sweden,55,LW,Right,1,3,2,Medium,Medium,70,52,47,61,22,45,47,54,34,50,44,61,42,40,43,61,72,68,74,38,70,56,41,42,44,45,50,21,48,49,49,55,20,21,20,12,5,8,9,10,54,55,54,54,54,55,56,56,49,56,42,39,42,39,34,39,14
Á. Nistor,Ákos Nistor,17,177,69,Romania,55,CAM,Left,1,3,2,Medium,Medium,74,38,53,59,28,45,43,38,32,59,33,56,45,41,54,58,75,73,76,49,74,41,55,49,44,36,39,21,46,56,40,44,23,36,33,14,15,14,8,15,49,54,52,52,52,54,57,57,53,57,47,45,47,45,39,45,19
L. Ayina,Loick Ayina,19,185,70,France,55,"CB,RB",Right,1,2,2,Medium,High,76,26,31,40,56,65,25,23,55,35,27,35,28,22,35,38,77,76,55,46,65,39,72,64,69,18,52,54,22,32,33,42,51,62,54,12,12,8,7,6,41,38,37,37,37,38,38,42,40,42,52,50,52,54,57,54,15
D. Moreno,Damián Moreno,20,175,72,Chile,55,ST,Right,1,3,2,Medium,Medium,62,56,38,49,18,51,26,59,54,49,43,47,39,28,30,49,61,63,58,54,60,54,62,51,57,52,31,13,56,41,56,40,16,10,17,14,14,9,12,10,57,50,52,52,52,50,52,50,45,50,37,34,37,36,33,36,19
V. Widell,Viktor Widell,19,179,72,Sweden,55,RB,Right,1,3,2,Medium,Medium,67,37,46,52,50,57,49,38,45,51,30,50,38,36,45,51,68,66,62,48,61,40,51,64,58,30,46,50,42,40,38,41,49,53,52,8,7,6,5,9,48,49,47,47,47,49,50,53,50,53,55,53,55,55,53,55,14
A. Al Qahtani,Abdulmohsen Al Qahtani,23,176,77,Saudi Arabia,55,"LW,RW",Left,1,4,2,Medium,Medium,69,51,50,56,24,52,49,54,45,53,44,56,48,46,51,55,68,69,64,50,62,49,56,49,60,47,34,20,50,48,59,43,19,27,21,9,9,5,8,9,55,55,54,54,54,55,56,56,51,56,44,41,44,42,37,42,15
L. Petzold,Luca Petzold,20,188,70,Germany,55,GK,Right,1,4,1,Medium,Medium,56,54,59,56,40,58,12,7,14,29,9,8,11,19,14,39,41,39,21,39,21,44,44,29,51,11,37,19,11,41,21,34,11,14,12,56,54,59,58,56,26,24,25,25,25,24,28,27,28,27,25,27,25,25,26,25,56
V. Andersson,Viktor Andersson,18,189,84,Sweden,55,GK,Right,1,3,1,Medium,Medium,53,57,55,58,27,52,10,6,14,17,7,10,14,13,26,14,27,26,35,48,38,41,50,28,65,8,28,15,8,39,16,23,9,12,11,53,57,55,52,58,22,18,19,19,19,18,22,21,24,21,20,24,20,20,24,20,56
J. Giurgi,Josh Giurgi,20,176,64,Republic of Ireland,55,"RWB,RW",Right,1,2,2,Medium,Medium,62,44,52,56,48,49,54,47,45,54,34,56,42,41,48,54,63,61,65,48,66,41,61,58,44,38,45,47,54,53,44,52,45,52,49,11,13,13,7,6,52,54,52,52,52,54,55,56,54,56,55,52,55,54,51,54,16
C. Addai,Corey Addai,24,203,77,Jamaica,55,GK,Right,1,2,1,Medium,Medium,56,52,53,57,22,53,12,6,12,23,5,6,12,12,24,11,22,22,23,50,22,40,37,19,42,8,19,9,8,31,12,31,18,13,13,56,52,53,53,57,20,16,18,18,18,16,21,20,22,20,20,22,20,20,22,20,56
Chen Rijin,Rijin Chen,23,171,64,China PR,55,"LB,RB",Right,1,2,2,Medium,Medium,64,28,35,50,55,47,46,26,41,36,26,52,28,26,26,38,66,62,64,55,87,22,66,63,38,32,45,56,50,33,35,39,53,59,56,10,9,14,10,7,42,45,43,43,43,45,44,48,43,48,55,49,55,55,53,55,16
Xiong Fei,Fei Xiong,34,182,73,China PR,55,"RB,CB",Right,1,3,2,Low,High,58,29,46,41,50,65,65,25,48,47,27,35,56,20,45,40,66,51,62,51,61,46,69,62,68,21,58,53,21,29,30,36,47,52,50,10,14,11,12,11,41,41,37,37,37,41,40,46,43,46,54,52,54,55,55,55,18
N. Jahn,Niklas Jahn,17,168,56,Germany,55,"CM,CDM",Right,1,3,2,Medium,Medium,63,43,55,55,45,43,39,38,40,64,36,51,55,42,62,50,62,64,78,51,92,52,72,60,33,44,39,47,57,55,41,47,44,47,47,5,12,10,10,9,51,53,52,52,52,53,57,56,57,56,53,53,53,52,48,52,16
Lee Ho Jae,Ho Jae Lee,21,192,84,Korea Republic,55,ST,Right,1,3,2,High,Low,51,59,39,43,26,67,31,52,63,45,49,40,40,49,34,45,51,51,47,45,37,70,63,47,83,66,55,19,54,38,56,45,21,22,26,12,5,6,8,10,57,46,49,49,49,46,48,46,44,46,37,38,37,37,41,37,15
K. Olaigbe,Kazeem Olaigbe,19,178,71,Belgium,55,LM,Right,1,2,3,High,Medium,72,57,51,56,28,43,48,59,45,51,56,56,53,46,48,54,71,73,67,39,70,63,39,33,49,49,39,26,55,57,58,53,20,31,30,7,6,9,6,9,57,56,55,55,55,56,57,56,50,56,43,41,43,42,38,42,13
C. Espinoza,Claudio Espinoza,20,172,77,Chile,55,CM,Right,1,3,3,High,Medium,61,48,54,58,43,49,44,52,38,62,36,55,44,36,55,57,55,66,72,53,75,44,59,59,47,49,37,47,53,55,40,52,38,48,40,14,13,12,14,9,53,55,55,55,55,55,58,57,57,57,53,53,53,52,48,52,19
M. Chaiwa,Miguel Chaiwa,18,179,73,Zambia,55,CDM,Right,1,3,2,Medium,Medium,74,36,47,54,51,68,40,29,55,53,30,53,38,40,50,53,76,72,60,65,61,53,70,71,69,32,60,50,40,44,46,46,50,52,49,7,15,9,15,8,52,51,50,50,50,51,52,55,53,55,57,56,57,58,57,58,19
L. Jenkins,Luke Jenkins,19,180,70,England,55,CB,Right,1,2,2,Medium,Medium,61,27,38,46,52,67,29,22,53,46,25,44,31,33,42,42,64,58,60,49,65,41,87,55,71,21,65,50,33,34,38,39,52,53,53,9,14,6,11,7,43,41,40,40,40,41,43,45,44,45,50,52,50,52,57,52,16
Choi Do Yun,Do Yun Choi,21,174,70,Korea Republic,55,LB,Left,1,3,2,Medium,High,62,31,44,46,52,51,54,29,43,42,26,51,47,48,40,32,58,66,52,53,73,32,52,60,43,30,57,52,45,40,38,43,53,54,56,15,14,11,6,14,43,45,43,43,43,45,44,49,45,49,54,50,54,55,52,55,19
D. Kacuri,Dion Kacuri,18,190,80,Switzerland,55,CAM,Left,1,3,2,Medium,Medium,69,45,54,55,37,58,38,44,46,61,47,53,51,44,53,54,66,72,68,48,51,51,56,46,68,40,48,24,47,62,49,57,32,43,48,14,6,6,12,7,54,53,53,53,53,53,57,55,54,55,48,49,48,48,47,48,16
F. Choudhary,Farukh Choudhary,25,180,74,India,55,"LM,RM,ST",Right,1,3,3,Medium,Medium,75,42,49,58,39,58,50,43,49,50,48,55,43,36,51,52,77,74,88,50,73,44,76,57,56,35,60,37,52,50,41,51,31,44,42,15,9,9,12,9,53,54,52,52,52,54,55,56,52,56,51,49,51,51,48,51,17
J. Hammel,Justin Hammel,21,185,84,Switzerland,55,GK,Right,1,2,1,Medium,Medium,58,54,55,57,18,49,15,7,11,31,6,7,12,11,24,19,18,19,28,46,44,41,60,25,60,5,29,12,5,28,15,25,7,14,13,58,54,55,49,57,22,17,19,19,19,17,22,21,24,21,21,25,21,21,24,21,56
C. Montgomery,Callum Montgomery,25,190,84,Canada,55,CB,Right,1,2,2,Low,High,42,30,38,41,52,67,29,22,42,55,29,34,20,20,41,44,41,43,49,53,52,45,73,54,78,36,52,49,25,25,33,39,51,58,56,11,7,12,14,11,41,37,37,37,37,37,41,41,45,41,50,53,50,51,57,51,17
A. Beck,Asker Beck,18,183,70,Denmark,55,"CM,LW",Right,1,3,2,Medium,Medium,67,48,55,58,46,50,55,48,50,60,35,55,43,40,54,58,69,66,68,50,64,53,63,62,42,45,50,40,55,55,40,60,40,52,50,13,13,13,8,7,55,56,55,55,55,56,58,59,57,59,56,53,56,55,50,55,17
A. Adelgaard,Aske Adelgaard,18,175,65,Denmark,55,LB,Left,1,3,2,Medium,Medium,68,29,36,50,55,54,50,30,35,29,24,53,27,40,29,40,69,68,64,49,60,25,61,55,52,29,58,56,42,39,32,50,58,58,55,6,14,7,13,6,42,46,42,42,42,46,44,48,42,48,54,49,54,55,54,55,16
K. Sifama,Keletso Sifama,19,171,65,South Africa,55,"RW,LW,CF",Right,1,3,2,High,Medium,66,52,47,60,34,43,40,52,45,50,49,61,40,41,49,59,60,70,56,50,75,61,63,50,40,43,37,26,58,50,47,59,30,38,36,8,9,7,13,12,56,55,56,56,56,55,56,56,52,56,47,44,47,46,41,46,17
N. Pacławski,Norbert Pacławski,18,187,63,Poland,55,ST,Right,1,2,2,Medium,Medium,81,53,41,50,18,52,37,55,49,47,44,48,38,32,32,50,79,82,56,47,59,56,51,58,59,48,27,11,55,44,56,47,14,17,17,13,11,13,8,12,57,53,53,53,53,53,52,54,45,54,40,35,40,39,33,39,17
J. Ryan,John Ryan,18,180,70,Republic of Ireland,54,"RB,LM",Right,1,3,2,Medium,Medium,64,41,49,53,49,52,51,46,47,51,33,51,43,39,43,53,69,60,54,51,68,36,64,62,48,35,45,51,52,51,41,51,45,51,48,6,5,5,8,11,51,52,51,51,51,52,53,55,52,55,55,52,55,54,51,54,14
S. Stalin,Sanjeev Stalin,21,166,60,India,54,"LB,RB",Left,1,3,2,High,Medium,66,26,44,49,50,55,47,24,41,46,28,49,38,26,44,45,67,66,61,49,66,25,63,61,55,24,45,54,47,44,30,40,48,53,52,10,10,6,6,6,43,47,44,44,44,47,47,51,48,51,54,51,54,54,52,54,14
P. Fahrner,Philip Fahrner,19,178,75,Germany,54,"RM,CM",Right,1,3,2,Medium,Medium,63,37,53,56,42,54,55,32,38,57,29,56,48,37,52,58,64,63,60,48,62,50,58,49,56,35,53,44,46,50,39,36,41,42,40,10,12,6,6,12,49,52,51,51,51,52,54,55,53,55,52,51,52,51,48,51,16
E. Austbø,Edvin Austbø,17,172,64,Norway,54,ST,Right,1,2,2,Medium,Low,71,57,45,58,19,43,41,59,48,50,41,57,46,40,40,56,72,70,73,45,71,57,60,53,40,59,35,20,48,43,51,48,18,12,11,14,13,11,6,13,56,55,54,54,54,55,55,55,48,55,40,36,40,38,32,38,17
N. Meetei,Ninthoi Meetei,20,163,59,India,54,RM,Right,1,3,3,Medium,Low,87,42,45,56,29,45,43,44,32,47,39,52,45,40,43,50,90,85,84,50,86,43,65,51,44,38,33,35,52,45,35,48,25,28,27,9,6,6,8,10,51,54,52,52,52,54,54,55,48,55,47,42,47,46,38,46,15
E. Kirkman,Esteban Kirkman,19,184,84,Chile,54,GK,Right,1,3,1,Medium,Medium,54,51,56,55,28,50,12,9,10,23,5,14,12,14,25,10,29,27,39,51,46,42,55,24,56,8,17,14,8,28,13,28,9,10,13,54,51,56,50,55,23,19,20,20,20,19,22,22,23,22,21,23,21,20,22,20,55
A. Carter,Anthony Carter,27,191,80,Australia,54,"ST,CF",Right,1,3,2,Medium,Medium,59,58,39,47,23,41,29,64,61,45,45,44,43,32,35,47,62,56,56,55,61,55,65,53,37,51,30,19,54,43,57,43,17,19,18,15,9,13,11,6,54,49,52,52,52,49,51,50,45,50,38,36,38,37,34,37,17
M. Dorgeles,Mario Dorgeles,17,177,67,Côte d'Ivoire,54,"CM,CAM",Left,1,3,2,Medium,Medium,73,45,54,59,38,43,52,45,39,60,34,56,39,34,59,58,72,73,71,50,78,52,64,58,35,40,41,42,53,48,35,48,31,42,40,6,14,10,8,11,53,56,54,54,54,56,57,59,56,59,53,50,53,52,44,52,16
R. Dagar,Rakshit Dagar,29,185,80,India,54,GK,Right,1,2,1,Medium,Medium,54,55,53,52,28,54,11,8,11,29,9,10,13,13,23,14,26,30,27,43,43,40,56,28,46,6,22,12,8,27,11,24,7,14,12,54,55,53,54,52,22,18,19,19,19,18,22,22,23,22,21,23,21,21,22,21,54
A. Fouad,Ali Fouad,20,181,62,Saudi Arabia,54,"LB,CB",Left,1,3,2,Medium,High,59,25,38,45,52,66,42,20,49,46,27,38,29,22,34,50,62,57,45,48,79,34,77,66,70,21,53,52,30,30,34,44,51,54,50,6,14,14,13,12,42,41,39,39,39,41,41,45,44,45,53,52,53,54,56,54,17
S. Jansen,Sven Jansen,17,192,78,Netherlands,54,GK,Right,1,2,1,Medium,Medium,58,54,58,55,17,46,20,11,12,27,8,18,17,11,21,15,16,18,22,48,53,44,58,21,51,10,19,8,9,40,17,33,9,13,11,58,54,58,46,55,23,20,22,22,22,20,25,23,25,23,21,23,21,19,22,19,55
L. Rhöse,Lukas Rhöse,21,187,81,Sweden,54,"LB,LWB",Right,1,3,2,Medium,Medium,69,37,40,47,48,61,46,38,43,42,29,48,28,33,36,42,63,74,60,45,55,35,64,75,60,35,47,51,47,37,37,40,45,49,55,14,7,5,13,13,47,47,45,45,45,47,46,50,46,50,54,49,54,54,52,54,17
B. Smales-Braithwaite,Benni Smales-Braithwaite,20,185,75,England,54,ST,Right,1,2,2,Medium,Medium,70,54,41,50,18,51,29,60,49,49,40,49,34,31,34,49,70,70,51,53,58,44,69,51,57,52,31,12,54,49,57,49,13,17,13,13,12,7,15,8,56,52,53,53,53,52,54,52,47,52,38,35,38,36,33,36,18
E. Ilesanmi,Emmanuel Ilesanmi,17,188,79,England,54,ST,Right,1,2,2,High,Medium,62,53,39,51,23,65,25,54,57,48,45,51,37,30,34,50,61,63,56,49,60,55,72,61,73,48,50,19,54,42,56,49,20,18,16,10,10,8,12,10,56,50,52,52,52,50,52,51,46,51,39,39,39,38,39,38,17
C. Windust,Cameron Windust,21,183,75,Australia,54,CB,Right,1,2,2,Medium,Medium,53,23,33,39,55,58,28,21,49,38,28,34,23,21,35,40,54,53,39,48,60,32,76,54,63,16,45,52,24,31,36,46,52,61,58,14,8,8,7,5,38,35,35,35,35,35,37,39,40,39,49,50,49,52,56,52,15
J. Hull,Jake Hull,20,198,94,England,54,CB,Right,1,2,2,Medium,Medium,51,24,32,34,54,67,28,19,57,40,28,30,24,24,29,38,49,52,33,43,34,41,43,58,81,17,48,52,21,27,22,41,53,56,54,10,13,12,8,9,39,33,33,33,33,33,35,37,38,37,48,49,48,51,56,51,16
A. Gülstorff,Andreas Gülstorff,19,181,75,Denmark,54,GK,Right,1,3,1,Medium,Medium,55,52,51,56,43,52,14,10,10,26,9,15,15,11,29,20,42,44,45,45,47,38,65,20,48,10,21,10,6,25,18,25,9,12,14,55,52,51,52,56,24,22,22,22,22,22,25,25,24,25,23,23,23,22,22,22,55
M. Bozinovski,Matthew Bozinovski,21,195,88,North Macedonia,54,CB,Right,1,2,2,Low,Medium,33,27,32,34,53,68,24,17,56,42,22,29,22,23,34,40,29,37,29,41,34,58,59,62,77,19,55,51,21,28,34,38,50,56,51,10,6,12,6,9,38,30,32,32,32,30,34,35,40,35,46,50,46,48,56,48,14
M. Holíček,Matúš Holíček,17,182,71,Slovakia,54,"LM,CAM",Right,1,4,4,High,Medium,74,47,47,56,31,52,44,45,39,49,40,55,52,43,43,51,76,72,71,50,79,48,59,58,56,50,33,25,48,51,48,56,36,29,23,13,9,7,7,12,52,53,52,52,52,53,54,55,50,55,46,43,46,44,40,44,16
M. Ree,Magnus Rugland Ree,18,182,74,Norway,54,GK,Right,1,2,1,Medium,Medium,55,54,57,52,23,52,14,5,14,17,5,11,14,12,27,14,27,16,23,47,49,43,57,22,47,6,25,9,4,28,17,39,5,14,13,55,54,57,52,52,20,16,18,18,18,16,20,20,22,20,19,21,19,19,21,19,55
K. Jelacic,Keegan Jelacic,19,177,70,New Zealand,54,CAM,Right,1,3,2,High,Low,74,51,49,56,20,55,41,53,49,53,34,54,49,46,49,54,73,74,73,54,74,50,70,68,56,48,31,15,47,49,62,41,16,18,18,9,5,6,12,12,55,55,54,54,54,55,56,57,51,57,44,40,44,41,35,41,16
E. Blikstad,Eirik Blikstad,18,183,75,Norway,54,CB,Right,1,3,2,Medium,Medium,59,27,39,49,54,52,25,23,55,50,28,48,42,26,46,50,55,62,52,43,61,38,84,35,58,22,51,55,32,33,38,45,53,55,51,14,15,14,7,12,43,42,42,42,42,42,44,45,45,45,49,52,49,51,56,51,18
S. Soumah,Salifou Soumah,18,174,68,Guinea,54,ST,Right,1,3,2,Medium,Medium,70,54,43,53,20,54,39,54,49,48,49,53,33,33,34,49,70,70,56,50,68,56,65,59,57,52,36,18,56,49,61,52,22,13,13,13,11,12,13,7,56,53,54,54,54,53,54,54,47,54,41,37,41,39,34,39,17
J. Lewicki,Jakub Lewicki,16,182,70,Poland,54,"LWB,LM",Left,1,3,2,Medium,Medium,63,42,48,51,47,54,51,46,42,53,44,48,39,42,49,51,65,61,60,47,68,35,63,62,49,38,55,44,52,38,42,37,45,52,49,6,13,12,6,15,50,51,49,49,49,51,51,53,51,53,54,52,54,53,51,53,16
J. Taylor,Joe Taylor,19,182,78,Wales,54,ST,Right,1,2,2,High,Medium,71,55,36,45,20,57,28,61,53,44,40,38,36,32,25,45,70,72,69,54,61,54,63,57,66,48,33,12,53,41,55,44,24,14,13,13,9,5,5,15,56,49,51,51,51,49,50,49,42,49,38,34,38,37,35,37,17
H. Al Dubais,Hisham Al Dubais,20,178,60,Saudi Arabia,54,"ST,LM",Right,1,3,2,Medium,Medium,69,53,43,53,22,55,39,56,53,48,44,52,38,37,44,53,68,69,58,52,63,52,63,60,57,51,42,20,50,42,53,49,17,19,16,7,12,10,5,14,56,53,53,53,53,53,53,54,48,54,42,39,42,40,36,40,16
R. Austin,Ryan Austin,19,192,83,Wales,54,CB,Right,1,3,2,High,Medium,63,26,34,41,52,66,23,25,50,42,26,40,29,20,38,36,66,60,54,51,52,30,66,52,78,22,53,50,28,34,32,38,52,54,53,7,8,9,12,5,41,39,38,38,38,39,41,42,42,42,49,50,49,51,56,51,15
R. Díaz Desidel,Rodrigo Díaz Desidel,20,170,67,Chile,54,CM,Right,1,3,2,Medium,Medium,63,42,52,56,42,39,38,42,38,61,29,56,41,36,56,55,63,63,59,54,73,42,44,53,33,41,37,45,52,56,42,38,33,49,45,9,13,13,11,11,50,53,53,53,53,53,57,56,56,56,52,51,52,51,46,51,18
M. Ferkranus,Marcus Ferkranus,19,188,82,United States,54,CB,Right,1,2,2,Low,Medium,51,21,37,33,55,60,28,17,41,49,20,25,23,21,43,33,54,48,47,48,54,27,48,47,72,22,50,55,25,27,29,45,59,57,51,15,12,7,6,12,36,33,33,33,33,33,36,38,41,38,48,52,48,50,56,50,17
D. Higgins,Donal Higgins,20,173,64,Republic of Ireland,54,CM,Right,1,4,2,Medium,Medium,66,48,51,57,49,53,41,49,36,56,41,56,47,44,53,55,67,65,68,51,69,50,58,63,47,42,52,47,56,53,47,56,56,48,43,9,7,10,7,14,53,54,54,54,54,54,57,57,56,57,54,54,54,53,51,53,16
C. dos Santos,CJ dos Santos,21,194,85,United States,54,GK,Right,1,2,1,Medium,Medium,55,53,54,53,27,53,11,9,14,23,7,9,12,11,20,10,26,29,22,52,23,41,36,25,68,6,24,12,4,37,18,23,9,12,11,55,53,54,53,53,23,17,19,19,19,17,22,21,23,21,20,23,20,20,24,20,55
