,reviews
494,"✅ Trip Verified | The work of the land crew during the check-in and customer support service is a total disaster. Very unprofessional approach and communications, they create rules on the way, they mess with documents, and they mess with your payment and reservation (for business class!) and then they struggle to resolve it. In the end, it costs you time, it costs you money and what is more important it costs you your emotional comfort and health. What is even sadder they don't care about it at all. I submitted my complaint right after the unfortunate choice of using their services and never heard back from them (it's been 5 months). Fait to admit the cabin service was decent but by the end, it just wasn't worth it. Please save your money and dignity, chose someone else, literally anyone would do better."
495,"✅ Trip Verified | The journey started on a rather bad note as the Air Canada Maple contract lounge is already closed for the evening FRA to DOH flight. So there will be no lounge access for the evening Qatar flight; something unheard of. When I approached the staff at the gate, they told me that they were not aware that the lounge closes at 16.45. Flight itself uneventful, with good service and catering, unfortunately no Qsuite. Arrival in Doha as almost always via a long bus transfer. Al Safa lounge as always impeccable. Flight to Bangkok in Qsuite, with again good service and catering. This time equipped with Qsuites."
496,"✅ Trip Verified |  FRA-DOH-SIN return. My first time onboard the ""best airline“ and I wasn’t disappointed. Qatar offers a high level of service and comfort from beginning to the end oft the journey. I was concerned about the chaotic situation at European airports this summer, but check-in and security at Frankfurt were fast and efficient. Transfer at Doha Hamad was very good too. QR’s onboard product is amazing with a professional crew, comfortable seats, good IFE and delicious meals. However meal service was a bit inconsistent: a welcome drink was only offered during the FRA-DOH flight, while only during the SIN-DOH flight there was no coffee service after the meal. And I want to mention that there is a difference between the aircraft types 777-300ER and A350-900. I definitely prefer the A350 because seats are wider, IFE has more content, the inflight map and the ambience / design is better. Overall a very good experience for a low price."
497,"✅ Trip Verified |  Excellent flight, very happy with the service we received right check in till disembarkation including the transit transportation in Doha. We had the shortest transit of 20 minutes. Special mention and thanks to Mr Tushar, Steward on QR028. He is the most efficient and kindest inflight staff we have ever met"
498,"✅ Trip Verified |  Wonderful flight staff, so helpful and caring, looked after all my need during the flight to Doha and Bangkok from Edinburgh, very clean and comfortable plane. Food amazing, high quality service, excellent entertainment on board and spoiled for choice. Lounge areas at all stops again excellent, staff amazing, food menu very high standard. Qatar Airways basically organise everything I could need and ensuring I had a wonderful flight."
499,"✅ Trip Verified |  Enjoyed flying with Qatar Airways. Most of the time the staff was excellent. Special mention for Miguel, he took care of us on QR274 on 22 October. This guy goes above and beyond. If you're lucky to have him taking care of your row, you're guaranteed a good flight. Also, Hyeon Jin on QR 273 on 28 October was very very hospitable. So much potential in this girl. Seats on the QSuite were very comfortable. Staff are lovely. All in all, a pretty good way to get from point A to point B. I do have 2 small issues with Qatar Airways, they seem to have a tendency for last minute equipment change (meaning you might have booked a QSuite flight only to be told later you're getting an older aircraft). But this could be deal breaker for us, they seem to have an inclination to 'take you out' of your chosen seat and place you in a less desirable seat (at least less desirable for you). This even happened after the boarding pass was issued. This has happened to us twice in 3 months, really hope it doesn't happen again."
500,"✅ Trip Verified |  Dallas Ft Worth to Colombo return via Doha Another very pleasant flying experience with my favorite airline. Basic economy ticket. Great cabin crew, food was great well presented and most importantly something you can eat. Cabin crew attention to safety was fantastic. Rest rooms were well maintained. When I visited the galley to get a drink it was well maintained. "
501,✅ Trip Verified |  There was an aircraft change and they separated three in our family into three different sections. The seating was a 2-2-2 configuration instead of a 1-2-1. The USB ports were out of order and The TVs in the middle from rows 5 to 7 did not work. My seat adjustment keys were worn out and erratic and the TV screen was non-touch screens or did not work.  I do not know why they used such an old aircraft with many controls not working for a day flight of 13 hours. The lounge in Doha was exceptional both during outward and inward journeys. The staff was extremely helpful and friendly. They have shown excellent professionalism. One silver lining is the crew aboard the aircraft was par excellence. They did a fantastic job as usual.
502,"✅ Trip Verified |  Superb airline with superb air hostesses, Can’t do enough and attend to every need, with quality service. On board meals and entertainment were great also. Just need to sort security times at Doha"
503,"✅ Trip Verified |  Staff could not board me on at Montreal due to an issue with my passport and it took forever to clear that. Boeing 777 was not in great shape and was quite old. Washrooms were not in order from the get go and my food was horrible and was not sufficient.  The infotainment system on this 777 was not great.  The only positive thing was the Customer Service, which was pretty good and also the Doha airport is really nice. I am heading back to Vancouver soon and lets see how that flight goes."
504,"✅ Trip Verified |  On 26 OCT flight Kuala Lumpur to Doha in codeshare and operated by Malaysia Airlines was delayed 1,5 hrs due to technical problems. Today's experience at Doha is the complete absence of professionalism. There should be people waiting for the passengers at the arrival gate, separating the ones with short or missed connection in groups divided by final destination and guiding them to the proper channel to rebook their flight. In today’s experience people were left alone in desperate search of the (now closed) connection gate and they were finally reaching the transfer desk. Here I spent Hours waiting in line in front of the eyes of staff who were bouncing people from 1 operator to the other, never taking any action. The decisions on who to serve and attend were based on who is angrier and shouting the loudest. Some people have been rebooked on the next day flight when there was another one after only 6 hours. At their further inquiring why they couldn’t board on the earlier flight they have been answered with a sorry and invited to line up again to get a 3rd boarding pass printed. "
505,"✅ Trip Verified |  The food they provide for a long haul flight is insufficient and the quality of my food was appalling. The scrambled egg was a solid chewy rock with no flavour. The second meal was a cold sausage roll stuffed with chicken which was not appetising. Wifi on outbound didn’t work at all. The super fast Wi-Fi which I paid for in the return did not work for more then half the journey. I paid £150 for exit row seats I got a worse seat than the non exit row. Nowhere to put your belongings, you have to hold the blanket and pillow on your lap for take off and landing. Seat 23a has the door blocking your legroom so you need to sit at an angle to get any leg room. Our outbound flight was an hour delayed and we weren’t communicated with much. There were very few toilets available and there was a queue which was in our exit row legroom. "
506,"✅ Trip Verified |  No words to appreciate e-Customer support, cabin comfort, meals served, cabin crew positive attitude. Latest aircraft and On-time performance. I got upgraded to Business from Doha without any request which was a surprise for me so I remain happy and grateful to Qatar. "
507,✅ Trip Verified |  Amazing airline overall. Inflight service and very friendly staff is all you need during your flight. Arriving experience to the very well organised airport not waiting for your luggage was the brilliant way to end my journey. Thank you Qatar Airways.
508,✅ Trip Verified |  We flew in Business Class from Zurich via Doha to Cebu on October 18. On both flights the service was excellent and the crew were very friendly and professional. The food has improved from previous flights. The flight from Zurich to Doha used an outdated aircraft from CX that did not meet QR standards. The light above the seat did not work and the information system was outdated. Boarding in Doha was once again chaotic. Business class passengers were not well informed and called while economy passengers were boarding. The bottle neck at the gate prevented this and no one of the gate staff took action. We were crammed into a bus with the rest of the passengers.
509,"✅ Trip Verified |  This is our second time flying with Qatar Airways. We flew LAX to DOH, stayed a few days and then onto CAI and back. From check in to in flight Qatar Airways makes it a truly wonderful experience. The check in at LAX was quick and friendly and don't even get me started on the experience of checking in at DOH; offered beverages, sit down and very attentive and friendly. The lounges are so relaxing, good food, drinks, the lounge at DOH has ""hotel"" rooms in it you can sleep in for a few hours. Service is top notch. Now for the flight. Warm greeting and welcome, Q Suites there are no words just comfortable, easy to sleep well in (I slept 10 hours). The amenity kit bags were colored for Breast Cancer awareness and the PJs for World Cup, awesome. The food was delicious as usual, flavorful, many choices, served at a good temperature and displayed nicely. They do have a new added light meal menu for world cup and it's like tailgate food; chips and guaq, potato ball, fish and chips, hamburger. I loved the idea, so fun and the execution was great. I hope they keep some of the items even after WC. World class experience that makes you look forward to flying for 16 hours!"
510,"✅ Trip Verified |  The crew on both routes ZRH to DOH and DOH to Cebu were very friendly, helpful and fulfilled every wish. Thank you. Qatar Airways used leased aircraft from Cathay Pacific on the flight from Zurich to Doha that was not up to the usual Qatar Airways standard. It was rather an old aircraft. The seat light did not work and the flight itinerary on the information system was outdated and showed little info."
511,"✅ Trip Verified |  Boarding in Doha was chaotic, the messages by the gate staff were unintelligible.  Business Class passengers were invited to board first but the bottle neck at the gate prevented this and no one of the gate staff took action to allow priority passengers to board first. There had been an  equipment change and the booked QSuite was not supplied. Instead we were seated in their old 2-2-2 configuration with dated an uncomfortable seats. I don't really understand why QR still have this outdated product in service. Cabin Crew was excellent but my food was not very good at all. The Chicken Burger was tasteless and the fries that came with it were soggy. WiFi was not available. I expect a lot more froma 5 star airline."
512,✅ Trip Verified | Mumbai to Budapest via Doha. Seeing Qatar Airways consistently wins awards I was eager to experience it after a 4 year absence. Unfortunately the experience fell short of my expectations. The in-flight entertainment was not available on the Doha to Budapest flight. The captain apologised for it and explained it was a technical problem. The vegetarian option was a frittata from Mumbai to Doha and it was OK (I award the meal 6 out of 10) but the white wine served was warm hence ruining it!! On the Doha to Budapest the food was very bland (4 out of 10). It was carrots and cauliflower in a milky sauce and what was surely a negligible amount of cheese of it was in fact present in the dish at all. It tasted exactly like boiled carrots and cauliflower. There were three trolleys in the back side of the plane hence going in and out if the lavatories was a challenge. Upon arrival at Doha Airport it took a full 20 minutes to open the plane doors. This is probably because we arrived in the morning but an airport that claims to be the world's best airport should get its act together on this front. The business class passengers who were only 5 or 6 passengers disembarked first hence prolonging the wait for those in economy by another 5 to 6 minutes. Despite that the flight was full disembarkation was via one door only (the front door). The bus taking us to the terminal was EXTREMELY cold. It was only 16 Degrees Celsius in Doha on that morning and the air conditioners were on full blast reducing the temperature inside the bus to 8 or 9 degrees Celsius. Because the size of busses for economy and business passengers are the same there was a traffic jam and the relatively short journey from the plane to the terminals in the freezing bus took 10 - 12 minutes. It feels like Qatar Airways treats its economy passengers as numbers on the accounting sheets else one would expect someone at Qatar Airways to at least instruct the bus drivers to switch off these dreadful air conditioners when it is cold outside.
513,"✅ Trip Verified |  I opted to have food at the Al Mourjan lounge before boarding, and to avoid it on the flight. This allowed me to enjoy the benefit of a good sleep, in the relative comfort of a business class flat bed. I opted for the last minute ""on the go breakfast"" before landing in Bangkok, proving the same inadequate level of F&B which I now associate with Qatar Airways: 3 or 4 pieces of fruit, a compote of yoghurt with some sugared jam, and a croissant. Harmless enough. Staff as always, very pleasant and willing to help at every opportunity, when required."
514,"✅ Trip Verified |  This was the return journey first leg. Inflight staff seemed better organised, but rather than risk a re-run of the chaotic F&B service on the inbound journey, I opted to sleep as soon as we had taken off, and not be disturbed for any F&B until or unless I decided I wanted it. This proved to be the correct strategy. I slept for the first 2 hours and then after waking, ordered the ""pulled beef"" burger, which was tolerable. Staff as always were friendly, and extremely eager to please. They expressed the desired level of concern at the abysmal check-in at Madrid operated by Iberia. Having checked-in online, but gone to the Business Class check-in desk the check in clerk questioned Thailand residency (my final destination) proof, (not required, but which I had in my passport, which he then disputed, until I explained it line by line). He then added luggage tags to 2 bags under my companion's name only, and omitted to put on priority tags. Qatar need to seriously monitor the service they are contracting to Iberia."
515,"✅ Trip Verified |  Excellent service by a friendly service minded cabin crew. Old plane upgraded with Qsuites. Still hard uncomfortable seats but nice with the privacy. Light meal after take-off but when ordering the burgers were already ""sold out"". Left with soggy fish and chips that went back to the galley."
516,"✅ Trip Verified |  Excellent once onboard. Nice friendly service, on the mark. The salmon was very overdone and dry.  Lounge review separately, Menzies Executive Lounge that is awful."
517,"✅ Trip Verified |  The first leg was in First on a gorgeous A380, with impeccable service and great food and drinks. Stay at the Al Safah lounge In Doha was great as always. My connecting flight to FRA was at 1 pm, a very quiet time at Doha airport. Despite almost all gates unoccupied, the flight departed from a remote location by bus. It was the usual long wait and chaos at the bus gates, with a hot bus, and overheated plane with cannot cope with open doors on the tarmac. Service and food was ok, but there is no more sandwich service in business class before arrival on this 6h flight. I was offered potato chips or muesli bars, which I declined. I had a seat in row one, and was unable to sleep due to the loud chit chatting of the staff in the galley. Overall, what Qatar is struggling with is consistency on the ground and in the air."
518,Not Verified |  Rome was less than expected in terms of customer service. This made our trip quite frustrating. Qatar airways staff and the airport in Hamad made up for this. I recommend flying Qatar Airways. The hostesses were professional and friendly. They treated us like royalty and made sure we were comfortable. Highly recommended.
519,"✅ Trip Verified |  This was my first flight with Qatar and it was the trip of a lifetime. I upgraded from Economy for a leg of the journey and from the very first minute the red carpet rolled out, the whole check-in and boarding process was done quickly, with ease and the attendants were all super friendly and very helpful. The seats were luxurious, supremely comfortable and made for a totally relaxed flight. The meals provided were the best I have ever had on any airline, truly 5 star cuisine, plenty of options and beautifully presented. I was delighted with the quality, service and price. Having travelled the globe on many different airlines, I cannot recommend Qatar highly enough, they truly are the World's Best Airline and will be my airline of choice from now on. Thankyou Qatar Airways for such a wonderful travelling experience."
520,"✅ Trip Verified |  Both sectors of this flight had Qsuites. Which added to the attentive service by the staff (nothing is too much trouble) plus the quality & availability of the food + drinks are the reason why Qatar Airways business class is the best in the sky. Check-in and boarding is supper efficient for business class passengers, offers of welcome drinks / food options / pyjamas etc from pleasant staff make it a pleasure to fly this airline. There is a reason why Qatar Airways is consistently voted the best in the world and I wish I could afford to fly premium class all the time as it really is worth the extra cost."
521,✅ Trip Verified |  Qatar Airways have promised me a refund but have failed to make the refund. They refuse to answer emails and hang up when I phone them
522,"✅ Trip Verified | First time travelling on Qatar in nearly 4 years because of the pandemic. Check-in in BKK a breeze, and certainly not the 3 hours suggested by the airline, especially after online check-in. But onboard service a major disappointment. Meal service was haphazard and chaotic. Was the last to be asked for my first course order, despite being in the middle of the cabin, and they had run out. I opted to forgo it. Instead they provided an ad hoc 1 prawn dish with a slice or two of avocado. The next course took nearly 1 hour to arrive, and I took one look at it when it did, and just ordered a cheese plate instead, finished it and went to sleep. No mattress service on this sector, despite it being night time. My travelling companion on the other side received an equally strange service level. I received my drink order of a glass of champagne, and he received his 40 minutes later. Dinner, such as it was, was completely uncoordinated. However good on paper, the a la carte dining concept does not work, and my suggestion is it should be abolished. The staff were very apologetic and, but seemed very inexperienced. That, and the quality of the food has disappeared since I last travelled and fell in love with Qatar Airways. Overall the staff were trying to solve the problems, but they seemed unable to manage what should be their normal operation. "
523,"✅ Trip Verified | Immediately changed into provided ""PJs"", and after take off, had the mattress applied to the seat, and went to sleep. Had pre-ordered breakfast prior to arrival, which I was advised would be about 2 hours before decent. Slept well, and awoke about 4 hours later. Was immediately offered breakfast, and assumed it was at the agreed time. A fruit platter with yoghurt and juice was produced. Having taken that, I realised it was 2 hours too early, and I should have slept until the hour before arrival. Cabin staff the usual friendly people, but the quality of food and miserly portion, made me think it would have been best to skip the F&B service, and sleep until descent, for the early (8 am) arrival in Madrid. Like all airlines, Qatar has suffered from the ill-effects of the pandemic, so they are cutting services, but not prices. Hugely disappointed, but hope they can return to the airline I much loved pre-pandemic."
524,"✅ Trip Verified |  Good experience overall. Food is good, service and comfort is good. The aircraft was clean, on time and they have very pretty containers for child meal, which we kept as gifts. I liked the DOHA airport as well. I used the onboard wifi on my way back. It was decent. I The speed was on a lower side but I wasn't trying to stream anything. The options in the movie selection were good. What i would recommend is to have better ""Flight Map"" options. Like some other airlines provide option to change view of what you see in flight map. Also the repeated commercial pages in flight map were annoying. Please leave that experience without ads. "
525,"✅ Trip Verified | After a 36 hour journey, I arrived at LAX to find that the flight showing confirmed on the Qatar app had no record of my booking. I spent 30 minutes on the phone with Qatar trying to get on the flight. Qatar told me I'd have to stay in LA for 4 days. While we were talking, the flight closed. I ended up paying cash for a ticket home on United. I have another flight with them in 4 weeks. A similar nightmare is unfolding. Rebook for a lower class of service, give up my premium seat on a 38 hour flight or pay cash for my own ticket from Reno to LAX that I already paid Qatar for. Be prepared to be stranded. Make sure you have enough cash to buy an alternative ticket home!"
526,✅ Trip Verified | Myself and my wife are Qatar Airways users for the past 10 years. The recent visit the cost was almost 3 times but it was not a big concern for us if not for the food that was served. The food was excellent a few years back but a disappointment this time. My salad was  not up to the mark at all. 
527,✅ Trip Verified | Doha to Montreal. Exceptional service provided right from boarding to disembarking. The Q-Suite is a must try experience with delectable cuisine and attentive service from wonderful cabin crew. A special thank you to them on this flight!
528,✅ Trip Verified |  It’s always amazing experience flying with Qatar Airways especially a long haul flight. Very comfortable and one of the top notch are the cabin cres services and very attentive. Seat are very comfortable Q-suites. Lots of privacy.
529,"✅ Trip Verified |  I have done the web-check in well before the travel and seats were also booked. While transiting through Doha, last minute ground staff said my seats were given to someone else and given me the last seat. I am very disappointed with this service and never expected Qatar airways to break their promise by providing this service."
530,"✅ Trip Verified | I flew a service from Islamabad to Gatwick (London) via Doha. It was a night departure from Islamabad. The Ground staff were very nice and helpful. Check-in was a smooth process, I had exceeded the baggage allowance by a small margin. No fuss created. Flight lifted off on time. The A330 is a bit outdated but good enough for the 3 hr flight to Doha. Arrival was on-time and we were off into HIA’s Main Concourse. Transit was smooth. I did some shopping from QDF and had dinner from Burgerie (Food Court - South) HIA is normally busy in the early mornings due to most long-haul flights being scheduled around the same time (US/UK/EU/China/South Korea/AUS/NZ) But it didn’t cause any problems apart from extra waiting times at the Food court. As soon as I was done I came to see the “Final Call” 40 mins before departure for QR329 to London. Which meant I had to hurry up. As soon as I got to the Gate they called Zone 1 and I was first to board. I got comfortable in my seat. Pushback for this flight was on time. However the passenger next to me was quite disturbing in the flight. She persistently kept a sleeping angle which directly meant less space for me which was very uncomfortable on the night flight. I did not take any meals on this flight as I was full. Although I did hydrate myself regularly. After a couple of shows and a few hours of sleep we started descent into Gatwick and we landed at around 0630AM. De boarding was efficient and we were clear of all arrival procedures within 15 min and I was on my way on the 166 mile drive home. I won’t be using Gatwick again because of its location. And the disturbing passenger had no effect on the excellent hospitality of Qatar Airways. I hope to fly them soon again."
531,"✅ Trip Verified |  The online wi-fi and entertainment system is limited and old (many airlines offer a wifi service which includes free wifi, live TV, numerous movies and series allowing you to watch them on your own device instead of outdated seat screens). The choice of food is very limited and the menu revolves around south asian food. I believe the menu should be more diversified and neutral. passengers should not waste 10 mins of their time watching  advertisement after take-off and before each movie/series. The cabin was clean. The cabin crew was professional. The overall experience is not bad but far from the best in the World. "
532,"✅ Trip Verified | New York to Kilimanjaro via Doha. Qatar cancelled one of our legs and rebooked us on a similar American Airlines flight. We had previously purchased upgraded seats on the Qatar leg of the flight, and despite their cancellation, nobody at Qatar customer service has refunded us. I've called multiple times and emailed customer service 3 weeks ago with no response. "
533,"✅ Trip Verified |  I flew from Toronto to Montreal to catch the Qatar Airway flight to Doha. In Toronto I was told that the boarding pass will be given in Montreal. When we arrived in Montreal there was no one to receive us at the gate and we were stopped at the gate that goes to the international boarding. After much discussing with security they opened the door to let us in to the departure check in counters. Qatar Airways staff were not aware that passengers from Toronto were stranded, but they check us in quickly and we went for boarding. The flight to Doha service was terrible, the food was very poor and we were served the second meal 8hrs after our first meal, with no snack between. The next flight to Goa was the same type of service. On the return flight though from Goa to Montreal was much better. service was better."
534,"Not Verified |  I was very impressed with every aspect of my flights and I will fly again on Qatar, rather than my usual airline out of Australia. The service, food ,cleanliness and aircraft were excellent. The QSuites were luxurious and so comfortable for sleeping. I am a solo flyer, and not so young any more. I felt safe and cared for the entire trip. I also used the Al Maha transit assistance which was brilliant."
535,"✅ Trip Verified | Doha to Jakarta. I don’t understand why in Doha the airplanes have to be parked so far away from the terminal. The communication of the ground staff with the bus drivers was not efficient and clear. Extremely friendly crew, very attentive to Privilege customer and very helpful with a fragile piece of luggage."
536,"✅ Trip Verified |  Great service at the Business/Privilege check-in counter and very helpful with fragile item. Boarding started 10min. late, reason unknown. Crew very helpful and friendly again."
537,"✅ Trip Verified |  Overall very well managed flight with friendly staff. There was a medical incident (passenger lost consciousness and was administered oxygen), which the crew managed well. It doesn’t need 3 crew members to assist someone in that state (I’m saying this as a first responder myself)."
538,✅ Trip Verified |  The service on Qatar Airways is excellent. I have flown with them several times and they have never let me down. They are consistent in maintaining high quality standards. Their cabin crew are the best. They treat all passengers with polite humility and they make you feel welcome on their aircraft. The aircraft itself is very comfortable and clean. They really deserve their award as best airline. I look forward to flying with them again.
539,"✅ Trip Verified | We've traveled from Johannesburg to Istanbul in April 2022 and again from Johannesburg to Bangkok in May 2022. In both occasions we purchased pre paid seats. We have a specific place where we sit on the plane. Both cases we purchase business class seats. When we checked-in, in Johannesburg OR Thambo we were informed that our purchased seats were no longer available. This happened on both our flights, for Istanbul and Bangkok. We informed Qatar Airways about our disappointment and find it unacceptable to pay for seats and don't get. They said that they would refund us for the seats that we did not receive. We informed them in May, when we were back in the country. It has been 6 months now and still haven't received our refund. I tried several times calling Doha headquarters, but no one can help me. They keep saying I should contact Customer Support. Then I got a reply in 28 August 2022 and said that I should re-do the online account application, which I did the same day. I informed Customer Care that I did the application again, but since the I haven't received anything from Qatar Customer Care Service. I called Qatar Headquarters again in Doha, but yet again they can't help me. Just said I should send an email to tell us at Qatar Airways. For a 5 Star Airline they have the worst Customer Service. They are fast to sell you their product but they have no after service. They trick you to pay for seats, but in the end you do not get it."
540,"✅ Trip Verified |  London to Melbourne via Doha, our flight was late leaving London and as a consequence missed our connecting flight. 2hr time layover, Qatar did not hold the flight for us. As a consequence we were stuck in Doha airport for 20 hours and then had a 15 hr economy flight. They made us wait 4-5 hours for a hotel. I will never fly with them again."
541,Not Verified |  Excellent is word when it come to fly for 15 hr journey from Doha to Miami. Jolina was there on the flight and she really took good care of me as i was on my veg diet. She make sure i am having my special meal on time and if i need anything else she was happy to help me with the smile.
542,"✅ Trip Verified |  Ground Staff at Heathrow were very efficient. 10 min Check-in process with COVID-19 documents checked within the line so you are ready when at the actual counter. Boarding process was also very smooth. Even though Heathrow's facilities do not facilitate a smooth boarding process. The flight took off on time, Seats were very comfortable and massive amounts of legroom. The IFE's screens were responsive and easy to use - Meals were a lot better thanks to the new Qcuisine services (I flew Emirates the week before and it was a lot worse). Landed in Doha on-time where I took the opportunity of grabbing myself a dinner and shopping from Qatar Duty Free, (10% off for QTR customers) - The flight to Islamabad was also boarded on time, not as smooth but that is more to be blamed on fellow passengers who do not listen to instructions or even try following them. The flight was quite short. About 2 hours on a new 777. I was sleeping most of the time. Upon arrival in Pakistan the Ground Staff were also quite helpful (Not Pakistani, the Qatari staff) assisting to all passenger concerns in baggage claim. I will be flying Qatar again next week to Gatwick via Doha - Qatar has always been excellent in the 50+ flights I have taken with them. Never fail to impress me. Thanks to Qatar Airways. And all cabin staff on QR4 (04/09) & QR614 (05/09)"
543,"✅ Trip Verified |  I am a Platinum Member of QMiles and Emerald on the One World Alliance and have flown a lot on Qatar Airways. This year their catering service has been declining steadily and they need to sort this out, on this flight they had lobster thermidor, lamb chops and a weird vegetarian option , and by the fourth row in business class they had run out of the lobster. Our aircraft was a 12 year old 777-200LR these planes were meant to serve the DOH to AKL route which I flew on back in 2017 and the proposed Doha to Santiago de Chile route which never materialized, the plane was recently refurbished with QSuites but the WI-FI was very very patchy, The cabin crew tried their best but the plane was very full and were under a lot of stress. The snacks they offered were comparable to a less than two hour flight on a a domestic US route, a bar of chocolate or a pack of chips, the catering is deteriorating."
544,"✅ Trip Verified |  Check in was a breeze and then a long walk to the lounge. Once there it’s like dining in a private club, service was first rate and the cook to order menu was truly fantastic, due to the late departure I choose to eat in the lounge and sleep for most of the flight. Warm welcome on board and shown to my qsuite which I definitely prefer over their other products. Was given a welcome drink and pre ordered my breakfast with a request to be woken up 2.5 hours prior to landing. Breakfast was good but I have had better. Service is friendly and effective this is still one of the top products out there."
545,"✅ Trip Verified |  Flights to BRU-DOH-BKK all well, seats, check-ins. Travel back BKK-DOH-BRU was a terrible experience BKK-DOH an A330 which was overdue its age of retirement, impossible to make my seat screen to function, small leg space. The only good thing about this flight was the served sack served before landing. And the staff is always okay on Qatar flights. The transfer in Doha 2 times transfer by bus, very unpleasant. DOH-BRU on one of the terrible Boeing 787's too many people crammed in too small spaces, uncomfortable seats, and no leg space."
546,"✅ Trip Verified |  I flew on Qatar Airways on April 27th, 2022 from Seattle, USA to Doha, Qatar. After a 2 1/2 hour layover, I was to fly from Doha to my final destination of Amman. The flight from Seattle had a problem that prevented it from flying. We taxied back to the gate, and sat on the airplane for almost three hours while they fixed the problem. Finally arriving in Doha, nobody was at the gate to inform me where to go, or what to do.  I got in line for Qatar Airways customer service. Customer service didn't offer me a hotel, so I spent the night in the airport. I wasn't booked on the first flight out in the morning, but they rebooked me on a later flight. My hotel reservation was non refundable. I wrote Qatar customer service asking to be repaid for my costs. They didn't offer me any cash compensation. "
547,"Not Verified |  Only my second time using Qatar, first was in 2008. It is still good, but they have places to improve. First leg was great, and ground staff very accommodating to my need for an exit seat due to my height, really appreciated that. Seats are very comfortable and recline a surprising amount. I never am able to sleep on flights but I fell asleep straight away. Loads of great movies to watch, food was good, staff excellent. My second leg was not good, but only for one reason the food/staff. I requested a specific meal due to allergies, but it was not on the list or assigned to my seat. When they came round with the trolley I told her I requested a special meal, she almost didn't understand or know what to do, she said she'd talk to someone ... 20mins went by, no one spoke to me, so I flagged someone down, she'd forgotten. Then all of a sudden 4 of then scramble around and took them a further 25mins to put half a luke warm meal together, a bread roll and two cups of fruit. The attendant either was new or had no clue what she was doing. Even when I asked for a beer she started listing every other drink until I asked 2 more times for a beer until she understood. . I am flying with Qatar in 3 weeks time, hopefully this won't happen again. It is a great airline, but still some room for improvement."
548,"✅ Trip Verified |  Booked trip for honeymoon and purchased extra leg room exit seats. Our seats were switched to middle rows and not together. Qatar has no customer service, phone support says you have to talk to them at the airport, when you talk to them at the airport they say you have to talk to them at the gate, when you talk to them at the gate they say they cant help because you have to do it at the check in counter. Then they say they can only help you if you send an email complaint. I did that and 2 months later still no response. At this point just trying to get the money back from the ticket upgrades that they did not honor. "
549,"✅ Trip Verified |  Todays flight they ran out of meal choice and my screen continuously glitched even after hostess reset it. They didn’t have immigration forms onboard, which caused bottle neck in the airport. Previous flights they ran out of drinks after first round and were flustered running out of food so compensated with chocolates and chip packets."
550,"✅ Trip Verified |  Flew Bangkok-Doha 11 Sept. 2022 on the flagship of the skies, the A380. Check-In smooth. Lounge in Bangkok downgraded to become the 3rd party Miracle Lounge, which at a first glance appear nice but de facto is fairly useless and sterile. No bar, no soft chairs, outdoor area closed off, food is lousy, no music, no wines, no personal service nor attention. Boarding smooth and from jetbridge. Onboard, got an excellent, priority seat on upper deck which rendered a premium feeling. Got a lot of attention from FAs who recognised my gold-card status, treated me with respect, pleasure, provided options and recommendations on food and drinks, and went beyond their mandate to please me. I brought own wine-glasses to avoid drinking from plastic mugs – this is the faith of travelling economy. Wines and food was good. Its much better to depart early evenings more than after midnight as you are served proper dinner. Good IFE. Annoying safety video with Barcelona footballers has now gone on for 5 years without being replenished. Eternal charity calls on Educate a Child is inappropriate. Departure delayed 1 hour due to heavy downpour in Bangkok, causing ½ hour late arrival, which is acceptable. Luggage well-handled and arrived to final destination with their partner airline, Rwandair, without any issues. Lounge in Doha, Silverlounge, was acceptable, due to attentive staff and tarmac view. Ticket were not that expensive."
551,"✅ Trip Verified |  The lie-flat seat on Business Class made for a good night's sleep. The cabin crew were prompt and attentive with service and this was consistent throughout all legs of the journey, where snacks, water and other beverages were provided in addition to meal service. The amenity kit supplied by Diptyque Paris. Alcohol and beverage selection on Business class was generous. The IFE was very up-to-date with many of the latest movies from all around the world, no lagging or dead screens. Prices were reasonable and we were glad that none of our flights were subject to unreasonable delays and all of them arrived on time. I found  Doha Airport incredibly crowded. The lounges were full during peak transit time, and then magically empty out once outgoing planes have departed. Nevertheless, still a very decent option at such a price point. Certainly can consider flying with Qatar Airways again."
552,"✅ Trip Verified | Hyderabad to Atlanta via Doha. I traveled with my 86 year old mother. Qatar Airways staff made it extremely comfortable both for my mom and me. The staff were  courteous and caring, making our travel a breeze. I felt compelled to give a high rating for the flight comfort and staff's effort to make it even better. Unfortunately, the website was not user friendly to post the review there. Flight also arrived about 20 minutes earlier than the estimated time. Take-off and landing were very smooth. This is the 3rd time I am flying with Qatar Airways. They always made my travel very comfortable. Look forward to taking another Qatar flight real soon. Good luck to them and their staff!"
553,"✅ Trip Verified |  Morning departure from Charles de Gaulle the plane offered QSuites, the WiFi was working but barely. The service was lower than the normal Qatar Airways high standard but my food was awful. My Salmon was clearly farmed and my lobster was raw the only edible thing was the berries. How could they get it so wrong?"
554,"Not Verified | New York to Bucharest via Doha. On August 27, this year, I flew with Qatar from New York to Doha. It happened that during the flight, it was my husband's birthday, so I dared to ask a stewardess, if possible, at a certain time, to bring me two glasses of anything, so that I could wish my husband a HAPPY BIRTHDAY. The surprise was so big, both for me and for my husband, because I sent an improvised mini cake and two prosecco glasses."
